
PRES, HGHT, TEMP, DWPT, RELH, MIXR, DRCT, SKNT, THTA, THTE, THTV
 847.0, 1551, 9.0, 8.1, 94, 8.06, 160, 1, 295.9, 319.5, 297.3
 844.0, 1581, 11.2, 10.2, 94, 9.34, 166, 2, 298.5, 326.0, 300.1
 843.0, 1590, 12.0, 10.5, 91, 9.54, 168, 2, 299.4, 327.6, 301.1
 822.0, 1802, 12.7, 7.1, 69, 7.77, 210, 8, 302.4, 325.8, 303.8
 820.0, 1822, 12.8, 6.8, 67, 7.61, 210, 8, 302.6, 325.6, 304.0
 700.0, 3124, 2.0, 0.7, 91, 5.78, 235, 21, 304.7, 322.5, 305.7
 685.0, 3298, -0.0, -0.9, 94, 5.26, 240, 21, 304.3, 320.6, 305.3
 683.0, 3321, -0.3, -1.1, 94, 5.20, 241, 21, 304.2, 320.3, 305.2
 681.0, 3345, 0.2, -1.9, 86, 4.91, 241, 22, 305.1, 320.3, 306.0
 680.0, 3357, 0.6, -5.4, 64, 3.78, 241, 22, 305.6, 317.6, 306.3
 673.0, 3440, 0.2, -5.8, 64, 3.70, 244, 23, 306.1, 317.8, 306.8
 661.0, 3584, 0.8, -18.2, 23, 1.39, 247, 25, 308.4, 313.0, 308.6
 635.0, 3901, -1.3, -18.6, 25, 1.39, 255, 30, 309.5, 314.2, 309.8
 586.0, 4537, -5.5, -19.5, 32, 1.40, 253, 33, 311.8, 316.6, 312.1
 540.0, 5172, -9.1, -32.1, 14, 0.48, 251, 36, 314.9, 316.7, 315.0
 504.0, 5699, -13.8, -34.1, 16, 0.43, 250, 39, 315.5, 317.1, 315.6
 500.0, 5760, -14.3, -34.3, 17, 0.42, 250, 39, 315.5, 317.1, 315.6
 493.0, 5867, -14.9, -36.9, 13, 0.33, 248, 41, 316.1, 317.3, 316.1
 479.0, 6085, -14.7, -41.7, 8, 0.21, 243, 45, 318.9, 319.8, 319.0
 473.0, 6180, -13.5, -47.5, 4, 0.11, 241, 47, 321.6, 322.0, 321.6
 458.0, 6425, -14.1, -52.1, 2, 0.07, 235, 52, 323.8, 324.1, 323.8
 430.0, 6901, -16.6, -36.6, 16, 0.39, 225, 61, 326.5, 328.0, 326.6
 427.0, 6953, -16.9, -34.9, 19, 0.46, 225, 61, 326.8, 328.6, 326.9
 400.0, 7440, -20.5, -51.5, 4, 0.08, 225, 63, 328.3, 328.6, 328.3
 381.0, 7800, -22.5, -53.5, 4, 0.07, 231, 58, 330.2, 330.5, 330.2
 364.0, 8135, -24.7, -42.7, 17, 0.24, 236, 53, 331.6, 332.6, 331.7
 355.0, 8318, -24.3, -40.3, 21, 0.32, 239, 50, 334.5, 335.8, 334.6
 345.0, 8527, -24.9, -46.9, 11, 0.16, 242, 47, 336.5, 337.1, 336.5
 337.0, 8695, -26.3, -49.5, 9, 0.13, 245, 45, 336.9, 337.4, 336.9
 300.0, 9530, -33.1, -62.1, 4, 0.03, 280, 37, 338.6, 338.8, 338.6
 288.0, 9814, -35.9, -63.9, 4, 0.02, 295, 40, 338.6, 338.7, 338.6
 272.0, 10204, -38.3, -65.1, 4, 0.02, 315, 45, 340.6, 340.8, 340.6
 250.0, 10780, -41.9, -66.9, 5, 0.02, 320, 51, 343.6, 343.7, 343.6
 208.0, 12000, -49.8, -72.3, 5, 0.01, 330, 59, 349.8, 349.8, 349.8
 200.0, 12260, -51.5, -73.5, 6, 0.01, 330, 58, 351.1, 351.1, 351.1
 178.0, 13010, -55.9, -78.9, 4, 0.00, 325, 52, 355.7, 355.8, 355.7
 159.0, 13724, -59.3, -82.3, 4, 0.00, 321, 46, 361.6, 361.7, 361.6
 157.0, 13804, -59.3, -82.7, 3, 0.00, 320, 45, 363.0, 363.0, 363.0
 150.0, 14090, -59.1, -84.1, 3, 0.00, 300, 28, 368.1, 368.1, 368.1
 146.0, 14259, -58.1, -84.1, 2, 0.00, 304, 26, 372.6, 372.7, 372.6
 136.0, 14686, -61.0, -85.9, 2, 0.00, 315, 21, 375.1, 375.1, 375.1
 123.0, 15292, -65.2, -88.5, 3, 0.00, 240, 21, 378.5, 378.5, 378.5
 112.0, 15857, -69.0, -90.8, 3, 0.00, 235, 24, 381.5, 381.6, 381.5
 100.0, 16540, -73.7, -93.7, 3, 0.00, 260, 26, 385.1, 385.1, 385.1
 91.0, 17081, -77.2, -95.3, 4, 0.00, 280, 25, 388.7, 388.7, 388.7
 81.4, 17721, -81.3, -97.3, 5, 0.00, 275, 21, 392.8, 392.8, 392.8
 79.2, 17877, -77.7, -96.7, 3, 0.00, 269, 18, 403.4, 403.4, 403.4
 74.0, 18264, -79.9, -95.2, 7, 0.00, 255, 12, 406.7, 406.7, 406.7
 73.5, 18302, -80.1, -95.1, 7, 0.00, 247, 12, 407.0, 407.0, 407.0
 70.0, 18580, -78.3, -94.3, 6, 0.00, 190, 9, 416.6, 416.6, 416.6
 66.0, 18917, -78.0, -93.4, 7, 0.00, 195, 13, 424.4, 424.4, 424.4
