Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-03-01 00:00,-0.618,0.023,1,0,0,0,p
2017-03-01 00:06,-0.497,0.039,0,0,0,0,p
2017-03-01 00:12,-0.371,0.056,1,0,0,0,p
2017-03-01 00:18,-0.226,0.026,0,0,0,0,p
2017-03-01 00:24,-0.046,0.026,0,0,0,0,p
2017-03-01 00:30,0.143,0.023,0,0,0,0,p
2017-03-01 00:36,0.327,0.023,0,0,0,0,p
2017-03-01 00:42,0.561,0.030,0,0,0,0,p
2017-03-01 00:48,0.777,0.030,0,0,0,0,p
2017-03-01 00:54,0.998,0.030,0,0,0,0,p
2017-03-01 01:00,1.218,0.033,0,0,0,0,p
2017-03-01 01:06,1.426,0.030,0,0,0,0,p
2017-03-01 01:12,1.619,0.026,1,0,0,0,p
2017-03-01 01:18,1.822,0.026,0,0,0,0,p
2017-03-01 01:24,2.011,0.020,0,0,0,0,p
2017-03-01 01:30,2.213,0.023,0,0,0,0,p
2017-03-01 01:36,2.411,0.026,0,0,0,0,p
2017-03-01 01:42,2.641,0.026,0,0,0,0,p
2017-03-01 01:48,2.879,0.030,0,0,0,0,p
2017-03-01 01:54,3.141,0.030,0,0,0,0,p
2017-03-01 02:00,3.406,0.030,0,0,0,0,p
2017-03-01 02:06,3.685,0.033,0,0,0,0,p
2017-03-01 02:12,3.987,0.030,0,0,0,0,p
2017-03-01 02:18,4.261,0.033,0,0,0,0,p
2017-03-01 02:24,4.549,0.026,0,0,0,0,p
2017-03-01 02:30,4.820,0.033,0,0,0,0,p
2017-03-01 02:36,5.099,0.033,0,0,0,0,p
2017-03-01 02:42,5.346,0.026,0,0,0,0,p
2017-03-01 02:48,5.616,0.030,0,0,0,0,p
2017-03-01 02:54,5.868,0.030,0,0,0,0,p
2017-03-01 03:00,6.165,0.033,0,0,0,0,p
2017-03-01 03:06,6.431,0.026,0,0,0,0,p
2017-03-01 03:12,6.724,0.036,0,0,0,0,p
2017-03-01 03:18,7.012,0.030,0,0,0,0,p
2017-03-01 03:24,7.300,0.030,0,0,0,0,p
2017-03-01 03:30,7.574,0.026,0,0,0,0,p
2017-03-01 03:36,7.840,0.030,0,0,0,0,p
2017-03-01 03:42,8.074,0.023,0,0,0,0,p
2017-03-01 03:48,8.313,0.026,0,0,0,0,p
2017-03-01 03:54,8.556,0.020,0,0,0,0,p
2017-03-01 04:00,8.763,0.026,0,0,0,0,p
2017-03-01 04:06,8.992,0.020,0,0,0,0,p
2017-03-01 04:12,9.177,0.026,0,0,0,0,p
2017-03-01 04:18,9.402,0.020,0,0,0,0,p
2017-03-01 04:24,9.600,0.023,0,0,0,0,p
2017-03-01 04:30,9.798,0.023,0,0,0,0,p
2017-03-01 04:36,9.983,0.020,0,0,0,0,p
2017-03-01 04:42,10.145,0.016,0,0,0,0,p
2017-03-01 04:48,10.271,0.016,0,0,0,0,p
2017-03-01 04:54,10.437,0.016,0,0,0,0,p
2017-03-01 05:00,10.536,0.010,0,0,0,0,p
2017-03-01 05:06,10.653,0.010,0,0,0,0,p
2017-03-01 05:12,10.721,0.016,0,0,0,0,p
2017-03-01 05:18,10.793,0.007,0,0,0,0,p
2017-03-01 05:24,10.797,0.007,0,0,0,0,p
2017-03-01 05:30,10.851,0.007,0,0,0,0,p
2017-03-01 05:36,10.833,0.010,1,0,0,0,p
2017-03-01 05:42,10.824,0.013,0,0,0,0,p
2017-03-01 05:48,10.784,0.010,0,0,0,0,p
2017-03-01 05:54,10.775,0.007,0,0,0,0,p
2017-03-01 06:00,10.730,0.010,0,0,0,0,p
2017-03-01 06:06,10.676,0.010,1,0,0,0,p
2017-03-01 06:12,10.613,0.010,0,0,0,0,p
2017-03-01 06:18,10.554,0.010,0,0,0,0,p
2017-03-01 06:24,10.451,0.016,0,0,0,0,p
2017-03-01 06:30,10.316,0.013,0,0,0,0,p
2017-03-01 06:36,10.163,0.020,0,0,0,0,p
2017-03-01 06:42,9.992,0.016,0,0,0,0,p
2017-03-01 06:48,9.829,0.020,0,0,0,0,p
2017-03-01 06:54,9.654,0.020,0,0,0,0,p
2017-03-01 07:00,9.510,0.020,0,0,0,0,p
