Date Time, Water Level, Sigma, I, L 
2016-03-01 00:00,1.383,0.009,0,0
2016-03-01 01:00,0.897,0.028,0,0
2016-03-01 02:00,0.511,0.011,0,0
2016-03-01 03:00,0.470,0.003,0,0
2016-03-01 04:00,0.721,0.005,0,0
2016-03-01 05:00,1.181,0.006,0,0
2016-03-01 06:00,1.756,0.009,0,0
2016-03-01 07:00,2.210,0.006,0,0
2016-03-01 08:00,2.620,0.005,0,0
2016-03-01 09:00,2.742,0.005,0,0
2016-03-01 10:00,2.568,0.004,0,0
2016-03-01 11:00,2.251,0.005,0,0
2016-03-01 12:00,1.719,0.010,0,0
2016-03-01 13:00,1.174,0.012,0,0
2016-03-01 14:00,0.725,0.012,0,0
2016-03-01 15:00,0.404,0.005,0,0
2016-03-01 16:00,0.484,0.006,0,0
2016-03-01 17:00,0.763,0.006,0,0
2016-03-01 18:00,1.172,0.008,0,0
2016-03-01 19:00,1.771,0.009,0,0
2016-03-01 20:00,2.221,0.014,0,0
2016-03-01 21:00,2.513,0.004,0,0
2016-03-01 22:00,2.490,0.012,0,0
2016-03-01 23:00,2.274,0.009,0,0
2016-03-02 00:00,1.941,0.007,0,0
2016-03-02 01:00,1.404,0.020,0,0
2016-03-02 02:00,0.977,0.016,0,0
2016-03-02 03:00,0.659,0.004,0,0
2016-03-02 04:00,0.697,0.005,0,0
2016-03-02 05:00,1.013,0.005,0,0
2016-03-02 06:00,1.445,0.006,0,0
2016-03-02 07:00,1.984,0.008,0,0
2016-03-02 08:00,2.427,0.008,0,0
2016-03-02 09:00,2.801,0.007,0,0
2016-03-02 10:00,2.955,0.007,0,0
2016-03-02 11:00,2.794,0.007,0,0
2016-03-02 12:00,2.427,0.016,0,0
2016-03-02 13:00,1.894,0.013,0,0
2016-03-02 14:00,1.444,0.025,0,0
2016-03-02 15:00,0.919,0.007,0,0
2016-03-02 16:00,0.685,0.004,0,0
2016-03-02 17:00,0.755,0.005,0,0
2016-03-02 18:00,0.902,0.004,0,0
2016-03-02 19:00,1.420,0.011,0,0
2016-03-02 20:00,1.873,0.006,0,0
2016-03-02 21:00,2.201,0.007,0,0
2016-03-02 22:00,2.563,0.010,0,0
2016-03-02 23:00,2.451,0.009,0,0
2016-03-03 00:00,2.239,0.005,0,0
2016-03-03 01:00,1.857,0.013,0,0
2016-03-03 02:00,1.247,0.011,0,0
2016-03-03 03:00,0.860,0.006,0,0
2016-03-03 04:00,0.547,0.006,0,0
2016-03-03 05:00,0.528,0.004,0,0
2016-03-03 06:00,0.882,0.007,0,0
2016-03-03 07:00,1.293,0.005,0,0
2016-03-03 08:00,1.779,0.007,0,0
2016-03-03 09:00,2.302,0.005,0,0
2016-03-03 10:00,2.607,0.004,0,0
2016-03-03 11:00,2.624,0.003,0,0
2016-03-03 12:00,2.529,0.012,0,0
2016-03-03 13:00,2.065,0.025,0,0
2016-03-03 14:00,1.602,0.015,0,0
2016-03-03 15:00,1.044,0.008,0,0
2016-03-03 16:00,0.565,0.010,0,0
2016-03-03 17:00,0.318,0.004,0,0
2016-03-03 18:00,0.447,0.006,0,0
2016-03-03 19:00,0.756,0.005,0,0
2016-03-03 20:00,1.225,0.006,0,0
2016-03-03 21:00,1.726,0.010,0,0
2016-03-03 22:00,2.175,0.015,0,0
2016-03-03 23:00,2.404,0.007,0,0
2016-03-04 00:00,2.418,0.006,0,0
2016-03-04 01:00,2.108,0.013,0,0
2016-03-04 02:00,1.708,0.017,0,0
2016-03-04 03:00,1.238,0.007,0,0
2016-03-04 04:00,0.752,0.005,0,0
2016-03-04 05:00,0.484,0.001,0,0
2016-03-04 06:00,0.511,0.003,0,0
2016-03-04 07:00,0.877,0.006,0,0
2016-03-04 08:00,1.268,0.007,0,0
2016-03-04 09:00,1.843,0.005,0,0
2016-03-04 10:00,2.376,0.008,0,0
2016-03-04 11:00,2.708,0.002,0,0
2016-03-04 12:00,2.763,0.011,0,0
2016-03-04 13:00,2.592,0.018,0,0
2016-03-04 14:00,2.138,0.018,0,0
2016-03-04 15:00,1.619,0.010,0,0
2016-03-04 16:00,1.008,0.008,0,0
2016-03-04 17:00,0.516,0.009,0,0
2016-03-04 18:00,0.283,0.006,0,0
2016-03-04 19:00,0.496,0.005,0,0
2016-03-04 20:00,0.817,0.008,0,0
2016-03-04 21:00,1.264,0.008,0,0
2016-03-04 22:00,1.913,0.010,0,0
2016-03-04 23:00,2.402,0.016,0,0
2016-03-05 00:00,2.746,0.009,0,0
2016-03-05 01:00,2.799,0.014,0,0
2016-03-05 02:00,2.528,0.014,0,0
2016-03-05 03:00,2.160,0.013,0,0
2016-03-05 04:00,1.654,0.011,0,0
2016-03-05 05:00,1.162,0.010,0,0
2016-03-05 06:00,0.845,0.006,0,0
2016-03-05 07:00,0.767,0.007,0,0
2016-03-05 08:00,1.161,0.008,0,0
2016-03-05 09:00,1.635,0.007,0,0
2016-03-05 10:00,2.150,0.014,0,0
2016-03-05 11:00,2.784,0.011,0,0
2016-03-05 12:00,3.161,0.017,0,0
2016-03-05 13:00,3.293,0.018,0,0
2016-03-05 14:00,3.170,0.019,0,0
2016-03-05 15:00,2.609,0.015,0,0
2016-03-05 16:00,2.131,0.014,0,0
2016-03-05 17:00,1.397,0.011,0,0
2016-03-05 18:00,0.850,0.010,0,0
2016-03-05 19:00,0.606,0.009,0,0
2016-03-05 20:00,0.701,0.009,0,0
2016-03-05 21:00,1.030,0.008,0,0
2016-03-05 22:00,1.508,0.010,0,0
2016-03-05 23:00,2.089,0.015,0,0
2016-03-06 00:00,2.625,0.013,0,0
2016-03-06 01:00,2.894,0.012,0,0
2016-03-06 02:00,2.812,0.011,0,0
2016-03-06 03:00,2.517,0.009,0,0
2016-03-06 04:00,2.013,0.011,0,0
2016-03-06 05:00,1.427,0.007,0,0
2016-03-06 06:00,0.851,0.007,0,0
2016-03-06 07:00,0.473,0.007,0,0
2016-03-06 08:00,0.544,0.006,0,0
2016-03-06 09:00,0.952,0.006,0,0
2016-03-06 10:00,1.432,0.019,0,0
2016-03-06 11:00,2.051,0.013,0,0
2016-03-06 12:00,2.614,0.007,0,0
2016-03-06 13:00,3.011,0.012,0,0
2016-03-06 14:00,3.073,0.012,0,0
2016-03-06 15:00,2.747,0.010,0,0
2016-03-06 16:00,2.201,0.012,0,0
2016-03-06 17:00,1.523,0.014,0,0
2016-03-06 18:00,0.799,0.007,0,0
2016-03-06 19:00,0.222,0.007,0,0
2016-03-06 20:00,-0.019,0.003,0,0
