año,mes,dia,hora(utc),altura(mm)
2016,7,1,0,-147
2016,7,1,1,-97
2016,7,1,2,-24
2016,7,1,3,57
2016,7,1,4,135
2016,7,1,5,202
2016,7,1,6,248
2016,7,1,7,269
2016,7,1,8,268
2016,7,1,9,261
2016,7,1,10,249
2016,7,1,11,232
2016,7,1,12,220
2016,7,1,13,225
2016,7,1,14,238
2016,7,1,15,249
2016,7,1,16,248
2016,7,1,17,229
2016,7,1,18,188
2016,7,1,19,120
2016,7,1,20,28
2016,7,1,21,-67
2016,7,1,22,-144
2016,7,1,23,-198
2016,7,2,0,-219
2016,7,2,1,-195
2016,7,2,2,-129
2016,7,2,3,-40
2016,7,2,4,57
2016,7,2,5,150
2016,7,2,6,229
2016,7,2,7,282
2016,7,2,8,303
2016,7,2,9,302
2016,7,2,10,293
2016,7,2,11,275
2016,7,2,12,251
2016,7,2,13,237
2016,7,2,14,241
2016,7,2,15,250
2016,7,2,16,253
2016,7,2,17,245
2016,7,2,18,219
2016,7,2,19,166
2016,7,2,20,82
2016,7,2,21,-21
2016,7,2,22,-121
2016,7,2,23,-200
2016,7,3,0,-252
2016,7,3,1,-263
2016,7,3,2,-223
2016,7,3,3,-143
2016,7,3,4,-44
2016,7,3,5,64
2016,7,3,6,167
2016,7,3,7,250
2016,7,3,8,303
2016,7,3,9,322
2016,7,3,10,320
2016,7,3,11,307
2016,7,3,12,282
2016,7,3,13,256
2016,7,3,14,244
2016,7,3,15,247
2016,7,3,16,250
2016,7,3,17,247
2016,7,3,18,234
2016,7,3,19,200
2016,7,3,20,136
2016,7,3,21,43
2016,7,3,22,-65
2016,7,3,23,-164
2016,7,4,0,-239
2016,7,4,1,-282
2016,7,4,2,-280
2016,7,4,3,-227
2016,7,4,4,-140
2016,7,4,5,-34
2016,7,4,6,78
2016,7,4,7,183
2016,7,4,8,264
2016,7,4,9,312
2016,7,4,10,328
2016,7,4,11,322
2016,7,4,12,303
2016,7,4,13,276
2016,7,4,14,250
2016,7,4,15,240
2016,7,4,16,240
2016,7,4,17,238
2016,7,4,18,232
2016,7,4,19,214
2016,7,4,20,174
2016,7,4,21,104
2016,7,4,22,9
2016,7,4,23,-96
2016,7,5,0,-187
2016,7,5,1,-252
2016,7,5,2,-282
2016,7,5,3,-267
2016,7,5,4,-207
2016,7,5,5,-118
2016,7,5,6,-12
2016,7,5,7,98
2016,7,5,8,196
2016,7,5,9,269
2016,7,5,10,310
2016,7,5,11,319
2016,7,5,12,308
2016,7,5,13,286
2016,7,5,14,259
2016,7,5,15,236
2016,7,5,16,225
2016,7,5,17,222
2016,7,5,18,218
2016,7,5,19,209
2016,7,5,20,188
2016,7,5,21,144
2016,7,5,22,76
2016,7,5,23,-14
2016,7,6,0,-108
2016,7,6,1,-186
2016,7,6,2,-236
2016,7,6,3,-253
2016,7,6,4,-229
2016,7,6,5,-166
2016,7,6,6,-79
2016,7,6,7,21
2016,7,6,8,121
2016,7,6,9,207
2016,7,6,10,268
2016,7,6,11,299
2016,7,6,12,300
2016,7,6,13,285
2016,7,6,14,262
2016,7,6,15,235
2016,7,6,16,213
2016,7,6,17,202
2016,7,6,18,196
2016,7,6,19,191
2016,7,6,20,182
2016,7,6,21,160
2016,7,6,22,119
2016,7,6,23,57
2016,7,7,0,-21
2016,7,7,1,-100
2016,7,7,2,-160
2016,7,7,3,-194
2016,7,7,4,-200
2016,7,7,5,-170
2016,7,7,6,-109
2016,7,7,7,-29
2016,7,7,8,60
2016,7,7,9,145
2016,7,7,10,216
2016,7,7,11,264
2016,7,7,12,282
2016,7,7,13,276
2016,7,7,14,257
2016,7,7,15,233
2016,7,7,16,206
2016,7,7,17,184
2016,7,7,18,173
2016,7,7,19,167
2016,7,7,20,162
2016,7,7,21,154
2016,7,7,22,135
2016,7,7,23,102
2016,7,8,0,52
2016,7,8,1,-11
2016,7,8,2,-72
2016,7,8,3,-114
2016,7,8,4,-135
2016,7,8,5,-132
2016,7,8,6,-100
2016,7,8,7,-43
2016,7,8,8,27
2016,7,8,9,101
2016,7,8,10,170
2016,7,8,11,225
2016,7,8,12,257
2016,7,8,13,265
2016,7,8,14,252
2016,7,8,15,229
2016,7,8,16,202
2016,7,8,17,173
2016,7,8,18,152
2016,7,8,19,142
2016,7,8,20,137
2016,7,8,21,134
2016,7,8,22,130
2016,7,8,23,119
2016,7,9,0,96
2016,7,9,1,60
2016,7,9,2,14
2016,7,9,3,-28
2016,7,9,4,-55
2016,7,9,5,-66
2016,7,9,6,-58
2016,7,9,7,-25
2016,7,9,8,25
2016,7,9,9,83
2016,7,9,10,142
2016,7,9,11,195
2016,7,9,12,233
2016,7,9,13,251
2016,7,9,14,248
2016,7,9,15,228
2016,7,9,16,201
2016,7,9,17,169
2016,7,9,18,139
2016,7,9,19,119
2016,7,9,20,111
2016,7,9,21,108
2016,7,9,22,109
2016,7,9,23,113
2016,7,10,0,112
2016,7,10,1,102
2016,7,10,2,80
2016,7,10,3,50
2016,7,10,4,24
2016,7,10,5,8
2016,7,10,6,3
2016,7,10,7,16
2016,7,10,8,47
2016,7,10,9,89
2016,7,10,10,134
2016,7,10,11,178
2016,7,10,12,215
2016,7,10,13,238
2016,7,10,14,244
2016,7,10,15,232
2016,7,10,16,204
2016,7,10,17,169
2016,7,10,18,133
2016,7,10,19,103
2016,7,10,20,87
2016,7,10,21,81
2016,7,10,22,82
2016,7,10,23,92
2016,7,11,0,106
2016,7,11,1,115
2016,7,11,2,117
2016,7,11,3,109
2016,7,11,4,94
2016,7,11,5,79
2016,7,11,6,70
2016,7,11,7,70
2016,7,11,8,85
2016,7,11,9,111
2016,7,11,10,142
2016,7,11,11,175
2016,7,11,12,206
2016,7,11,13,228
2016,7,11,14,237
2016,7,11,15,232
2016,7,11,16,211
2016,7,11,17,174
2016,7,11,18,132
2016,7,11,19,94
2016,7,11,20,67
2016,7,11,21,53
2016,7,11,22,51
2016,7,11,23,61
2016,7,12,0,82
2016,7,12,1,107
2016,7,12,2,127
2016,7,12,3,141
2016,7,12,4,146
2016,7,12,5,140
2016,7,12,6,132
2016,7,12,7,128
2016,7,12,8,132
2016,7,12,9,145
2016,7,12,10,163
2016,7,12,11,183
2016,7,12,12,204
2016,7,12,13,222
2016,7,12,14,229
2016,7,12,15,226
2016,7,12,16,212
2016,7,12,17,179
2016,7,12,18,134
2016,7,12,19,88
2016,7,12,20,52
2016,7,12,21,28
2016,7,12,22,19
2016,7,12,23,25
2016,7,13,0,47
2016,7,13,1,81
2016,7,13,2,115
2016,7,13,3,146
2016,7,13,4,171
2016,7,13,5,185
2016,7,13,6,185
2016,7,13,7,181
2016,7,13,8,180
2016,7,13,9,184
2016,7,13,10,191
2016,7,13,11,200
2016,7,13,12,209
2016,7,13,13,219
2016,7,13,14,223
2016,7,13,15,217
2016,7,13,16,204
2016,7,13,17,179
2016,7,13,18,136
2016,7,13,19,84
2016,7,13,20,38
2016,7,13,21,5
2016,7,13,22,-13
2016,7,13,23,-14
2016,7,14,0,4
2016,7,14,1,41
2016,7,14,2,86
2016,7,14,3,129
2016,7,14,4,170
2016,7,14,5,204
2016,7,14,6,222
2016,7,14,7,224
2016,7,14,8,223
2016,7,14,9,223
2016,7,14,10,222
2016,7,14,11,221
2016,7,14,12,221
2016,7,14,13,222
2016,7,14,14,220
2016,7,14,15,210
2016,7,14,16,193
2016,7,14,17,170
2016,7,14,18,134
2016,7,14,19,82
2016,7,14,20,27
2016,7,14,21,-15
2016,7,14,22,-44
2016,7,14,23,-55
2016,7,15,0,-42
2016,7,15,1,-8
2016,7,15,2,41
2016,7,15,3,95
2016,7,15,4,147
2016,7,15,5,197
2016,7,15,6,234
2016,7,15,7,252
2016,7,15,8,255
2016,7,15,9,255
2016,7,15,10,251
2016,7,15,11,242
2016,7,15,12,235
2016,7,15,13,230
2016,7,15,14,222
2016,7,15,15,209
2016,7,15,16,188
2016,7,15,17,162
2016,7,15,18,129
2016,7,15,19,82
2016,7,15,20,23
2016,7,15,21,-31
2016,7,15,22,-70
2016,7,15,23,-93
2016,7,16,0,-91
2016,7,16,1,-63
2016,7,16,2,-14
2016,7,16,3,45
2016,7,16,4,108
2016,7,16,5,169
2016,7,16,6,223
2016,7,16,7,259
2016,7,16,8,274
2016,7,16,9,276
2016,7,16,10,273
2016,7,16,11,262
2016,7,16,12,248
2016,7,16,13,238
2016,7,16,14,229
2016,7,16,15,213
2016,7,16,16,191
2016,7,16,17,163
2016,7,16,18,129
2016,7,16,19,85
2016,7,16,20,27
2016,7,16,21,-36
2016,7,16,22,-89
2016,7,16,23,-124
2016,7,17,0,-137
