anio,mes,dia,hora(utc),altura(mm)
2016,1,1,0,329 
2016,1,1,1,334 
2016,1,1,2,326 
2016,1,1,3,308 
2016,1,1,4,281 
2016,1,1,5,251 
2016,1,1,6,225 
2016,1,1,7,207 
2016,1,1,8,201 
2016,1,1,9,202 
2016,1,1,10,204 
2016,1,1,11,208 
2016,1,1,12,214 
2016,1,1,13,215 
2016,1,1,14,209 
2016,1,1,15,199 
2016,1,1,16,188 
2016,1,1,17,180 
2016,1,1,18,181 
2016,1,1,19,194 
2016,1,1,20,218 
2016,1,1,21,250 
2016,1,1,22,280 
2016,1,1,23,304 
2016,1,2,0,321 
2016,1,2,1,326 
2016,1,2,2,317 
2016,1,2,3,300 
2016,1,2,4,275 
2016,1,2,5,241 
2016,1,2,6,206 
2016,1,2,7,180 
2016,1,2,8,165 
2016,1,2,9,162 
2016,1,2,10,166 
2016,1,2,11,176 
2016,1,2,12,192 
2016,1,2,13,209 
2016,1,2,14,219 
2016,1,2,15,225 
2016,1,2,16,229 
2016,1,2,17,228 
2016,1,2,18,226 
2016,1,2,19,232 
2016,1,2,20,246 
2016,1,2,21,267 
2016,1,2,22,289 
2016,1,2,23,307 
2016,1,3,0,318 
2016,1,3,1,321 
2016,1,3,2,311 
2016,1,3,3,291 
2016,1,3,4,267 
2016,1,3,5,234 
2016,1,3,6,193 
2016,1,3,7,155 
2016,1,3,8,131 
2016,1,3,9,120 
2016,1,3,10,122 
2016,1,3,11,134 
2016,1,3,12,156 
2016,1,3,13,185 
2016,1,3,14,212 
2016,1,3,15,232 
2016,1,3,16,250 
2016,1,3,17,264 
2016,1,3,18,268 
2016,1,3,19,270 
2016,1,3,20,278 
2016,1,3,21,291 
2016,1,3,22,304 
2016,1,3,23,315 
2016,1,4,0,320 
2016,1,4,1,320 
2016,1,4,2,309 
2016,1,4,3,286 
2016,1,4,4,256 
2016,1,4,5,224 
2016,1,4,6,183 
2016,1,4,7,136 
2016,1,4,8,99 
2016,1,4,9,79 
2016,1,4,10,73 
